id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
40846855 14.2498 0.043214738368988 0.00730000017210841 2340.2578125 1692.72436523438 304.493346 37.932529 0.000975934 3.0 15.0601 3183 I I-Band 2458057.39927807 7 2 "[111] PCyg" 2887
20893744 13.8221 0.021906390786171 0.0044999998062849 2294.57788085938 1769.91674804688 304.493348 37.932534 0.001169984 3.0 14.4077 1464 I I-Band 2457723.37088686 7 2 "[111] PCyg" 1365
16719140 14.2220 0.0132979163900018 0.00350000010803342 2248.44482421875 1709.50646972656 304.49285 37.932544 0.001408853 3.0 13.6627 1129 V Visual 2457680.35387731 7 2 "[111] PCyg" 1077
77740714 14.0331 0.0361890345811844 0.00680000009015203 2275.06762695312 1690.57299804688 304.493448 37.932558 0.000975571 3.0 14.7999 7896 I I-Band 2458410.42352083 7 2 "[111] PCyg" 7743
22348386 13.8178 0.0194879826158285 0.0052000000141561 2303.05053710938 1796.63623046875 304.49274 37.932573 0.00131362 3.0 14.2002 1619 I I-Band 2457773.26138166 7 2 "[111] PCyg" 1515
62323270 13.7227 0.073502779006958 0.00789999961853027 2284.32055664062 1622.68859863281 304.493172 37.93258 0.0007916811 2.0 14.7836 4683 I I-Band 2458318.5970216 7 2 "[111] PCyg" 4518
15915744 14.2264 0.0156240370124578 0.00279999990016222 2319.33984375 1703.82849121094 304.492951 37.932602 0.001391356 3.0 13.6661 1092 V Visual 2457667.37321036 7 2 "[111] PCyg" 1037
82740311 14.0621 0.0246057640761137 0.00340000004507601 2240.02099609375 1645.32971191406 304.493193 37.932608 0.0008583319 3.0 14.0886 8353 R Red 2458437.28461516 7 2 "[111] PCyg" 8179
78092207 14.0192 0.0488604046404362 0.00920000020414591 2198.26806640625 1635.82141113281 304.493775 37.932619 0.0008872976 3.0 14.9046 7999 I I-Band 2458411.27789496 7 2 "[111] PCyg" 7867
17634786 14.0241 0.0266706068068743 0.00480000022798777 2267.72485351562 1717.60998535156 304.493073 37.932624 0.0008359161 2.0 14.7311 1214 R Red 2457693.34304253 7 2 "[111] PCyg" 1139
32220445 14.1263 0.01694062538445 0.00570000009611249 2247.00244140625 1611.72241210938 304.494262 37.932643 0.001702473 3.0 14.3701 2652 R Red 2457965.54945255 7 2 "[111] PCyg" 2402
79655049 13.9917 0.0361825935542583 0.00669999979436398 2279.87817382812 1680.634765625 304.493274 37.932648 0.001079493 3.0 14.8150 8139 I I-Band 2458416.39765191 7 2 "[111] PCyg" 7971
32247057 13.8271 0.0469332113862038 0.00970000028610229 2249.07470703125 1613.36999511719 304.493446 37.932651 0.00226973 3.0 15.1636 2651 I I-Band 2457965.54856224 7 2 "[111] PCyg" 2401
171414445 13.7266 0.104271300137043 0.0209999997168779 3026.21411132812 1841.78991699219 304.49326 37.932651 0.002757977 3.0 24.0760 28707 V Green 2458976.52916667 58 144 "[111] PCyg" 28058
68374492 14.0532 0.0237545315176249 0.00380000006407499 2233.33374023438 1647.84020996094 304.493081 37.932653 0.001047008 3.0 14.3313 6360 R Red 2458363.50832031 7 2 "[111] PCyg" 6047
172271574 14.0262 0.0986557677388191 0.0111999996006489 3003.43994140625 1934.36865234375 304.493394 37.932657 0.002276561 3.0 24.3447 28826 V Green 2458981.50972222 58 144 "[111] PCyg" 29519
70314086 14.2748 0.018065519630909 0.00380000006407499 2221.11938476562 1630.69995117188 304.494011 37.932666 0.001309083 3.0 14.3966 7069 V Visual 2458378.40607639 7 2 "[111] PCyg" 6973
74449872 13.8041 0.0405102856457233 0.00980000011622906 2217.28051757812 1663.35925292969 304.493679 37.932668 0.001089649 3.0 15.4173 7579 I I-Band 2458391.43253038 7 2 "[111] PCyg" 7468
68414096 13.7823 0.0313400402665138 0.00549999997019768 2236.10986328125 1648.91931152344 304.493568 37.932674 0.001041348 3.0 14.9141 6359 I I-Band 2458363.51007234 7 2 "[111] PCyg" 6046
31533863 14.3311 0.00300082634203136 0.00400000018998981 2262.56884765625 1612.83349609375 304.493828 37.932692 0.001449779 3.0 14.2909 2617 V Visual 2457955.58040799 7 2 "[111] PCyg" 2367
71924101 14.2254 0.0194954015314579 0.00490000005811453 2218.07739257812 1654.03662109375 304.493763 37.932705 0.001256086 3.0 14.2040 7235 V Visual 2458385.44066262 7 2 "[111] PCyg" 7183
40042023 14.9158 0.0414225868880749 0.00669999979436398 2300.2001953125 1605.66796875 304.493367 37.932711 0.0007573301 2.0 14.5163 3147 V Visual 2458054.24429109 7 2 "[111] PCyg" 2851
35025370 14.2439 0.0202895868569613 0.00289999996311963 2244.0478515625 1605.21838378906 304.494206 37.932718 0.001354693 3.0 13.7328 2862 V Visual 2458007.38853877 7 2 "[111] PCyg" 2599
171802720 13.3776 0.143527254462242 0.0351000018417835 3056.17211914062 1845.68054199219 304.493606 37.932718 0.006235662 2.0 26.6664 28780 R Red 2458978.49930556 58 144 "[111] PCyg" 28130
10656435 14.2227 0.062421191483736 0.0292000006884336 2323.0517578125 1672.75048828125 304.493183 37.932719 0.001137657 0.0 15.4601 826 V Visual 2457619.47728009 7 2 "[111] PCyg" 772
173242731 13.7316 0.145922973752022 0.0221999995410442 4127.7802734375 1509.98852539062 304.493959 37.932723 0.002705131 3.0 25.0589 29172 R Red 2458983.53472222 58 144 "[111] PCyg" 29544
41760674 13.8716 0.0272309612482786 0.00380000006407499 2424.11572265625 1620.17138671875 304.493456 37.932746 0.001144435 3.0 14.2165 3246 I I-Band 2458064.25474826 7 2 "[111] PCyg" 2944
32132359 14.3677 0.0376439392566681 0.00650000013411045 2243.2578125 1609.640625 304.494045 37.932748 0.001723261 1.0 14.9769 2653 V Visual 2457965.55023043 7 2 "[111] PCyg" 2403
171425784 14.4811 0.157517194747925 0.0272000003606081 3025.83374023438 1841.72033691406 304.493231 37.932749 0.003143138 3.0 23.9117 28705 B Blue 2458976.52916667 58 144 "[111] PCyg" 28056
79590387 14.4528 0.0255547426640987 0.00689999992027879 2274.58178710938 1675.14770507812 304.493013 37.932751 0.001054911 2.0 14.6212 8137 V Visual 2458416.39397859 7 2 "[111] PCyg" 7973
173268190 14.5459 0.174050852656364 0.0160000007599592 4127.228515625 1510.70971679688 304.494073 37.932756 0.003719852 3.0 23.7817 29174 B Blue 2458983.53472222 58 144 "[111] PCyg" 29546
17601811 13.7205 0.035465694963932 0.00839999970048666 2270.62231445312 1719.04846191406 304.493113 37.932758 0.0008816538 2.0 15.3665 1213 I I-Band 2457693.34479601 7 2 "[111] PCyg" 1138
11054124 14.2525 0.0206857156008482 0.00549999997019768 2300.45849609375 1691.27673339844 304.493241 37.932772 0.001361041 2.0 14.8260 844 V Visual 2457623.52379051 7 2 "[111] PCyg" 790
