id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
31850836 10.0874 0.00106383871752769 0.000199999994947575 673.896911621094 561.714172363281 304.539181 38.307017 0.001335618 3.0 10.7361 2627 I I-Band 2457962.59589857 7 2 "[110] Berkeley86" 2377
72408784 10.0736 0.0193689558655024 0.000199999994947575 623.301818847656 570.296081542969 304.539389 38.307031 0.0009768842 3.0 10.7672 7277 I I-Band 2458388.39884983 7 2 "[110] Berkeley86" 7194
100465085 9.4418 0.0 0.00249999994412065 665.132873535156 48.2048988342285 304.539099 38.307031 0.002048084 259.0 9.4257 11480 V V 2458505.27900463 31 39 "[111] PCyg" 11096
75500919 10.4915 0.0 9.99999974737875e-05 2412.02319335938 3046.62109375 304.539547 38.307039 0.0008380159 258.0 10.2564 7658 R Red 2458397.32710359 7 2 "[111] PCyg" 7645
6232189 9.9815 0.0 9.99999974737875e-05 658.439086914062 581.276123046875 304.539171 38.307042 0.0008968241 258.0 10.4748 560 R Red 2457573.56507427 7 2 "[110] Berkeley86" 511
100452530 9.9726 0.0 0.0007999999797903 670.199401855469 50.1012001037598 304.539065 38.307045 0.002368994 259.0 9.1338 11483 V V 2458497.28283565 31 39 "[111] PCyg" 11093
71073969 10.3213 0.0421798825263977 0.000699999975040555 631.689514160156 645.97119140625 304.539625 38.307052 0.001408928 2.0 12.4571 7105 I I-Band 2458381.5709158 7 2 "[110] Berkeley86" 7083
60999096 10.3337 0.0269682463258505 0.000199999994947575 611.879089355469 537.172424316406 304.539345 38.307057 0.0007874813 3.0 11.2681 4651 I I-Band 2458317.54403067 7 2 "[110] Berkeley86" 4489
41352019 10.0158 0.0151577824726701 0.000199999994947575 774.638122558594 625.074279785156 304.538918 38.307071 0.001001453 3.0 10.6388 3216 I I-Band 2458064.38283709 7 2 "[110] Berkeley86" 2920
13650854 10.2165 0.0114971604198217 9.99999974737875e-05 712.992980957031 626.110717773438 304.53921 38.307092 0.001471826 2.0 9.8875 968 V Visual 2457645.44913195 7 2 "[110] Berkeley86" 910
6209040 10.1258 0.0312969945371151 9.99999974737875e-05 656.48388671875 581.424682617188 304.538715 38.3071 0.0009071775 2.0 10.9391 558 V Visual 2457573.56332176 7 2 "[110] Berkeley86" 512
9261972 10.0961 0.0 9.99999974737875e-05 695.39599609375 645.7919921875 304.538495 38.307125 0.001360475 263.0 9.5710 750 R Red 2457613.5953559 7 2 "[110] Berkeley86" 696
72296189 10.2377 0.0291854757815599 0.000199999994947575 1687.26171875 1050.31408691406 304.540415 38.307131 0.0007733612 2.0 11.0113 7274 I I-Band 2458387.30546586 7 2 "[111] PCyg" 7191
17415475 10.1668 0.0147159397602081 0.000300000014249235 619.002685546875 670.742126464844 304.539828 38.307141 0.0009083617 2.0 11.8463 1184 V Visual 2457693.38462529 7 2 "[110] Berkeley86" 1128
70622671 10.1919 0.0193161051720381 9.99999974737875e-05 607.847412109375 576.214721679688 304.539325 38.307152 0.002060769 2.0 9.7738 7072 V Visual 2458379.44273148 7 2 "[110] Berkeley86" 6976
7466379 10.2332 0.0 9.99999974737875e-05 2427.30102539062 3068.49584960938 304.539509 38.307161 0.001818898 258.0 9.9310 652 V Visual 2457587.54258246 7 2 "[111] PCyg" 578
172271782 10.6465 0.093877449631691 0.000500000023748726 1910.84020996094 2005.77307128906 304.5394 38.307179 0.003529399 2.0 20.9939 28826 V Green 2458981.50972222 58 144 "[111] PCyg" 29519
35126261 10.3511 0.0256598740816116 9.99999974737875e-05 637.84228515625 554.296569824219 304.539755 38.307188 0.0009579351 3.0 10.7886 2864 I I-Band 2458008.43493056 7 2 "[110] Berkeley86" 2601
129068087 10.2330 0.0 9.99999974737875e-05 3497.97265625 3561.36157226562 304.538805 38.307251 0.0008629357 258.0 9.9797 13908 V Visual 2458719.35918113 7 2 "[110] Berkeley86" 13537
166295066 10.1685 0.0202306862920523 9.99999974737875e-05 3524.01538085938 3452.14819335938 304.539169 38.307252 0.001252102 2.0 9.9212 27983 R Red 2458945.59809462 7 2 "[110] Berkeley86" 27362
82605184 10.1741 0.0112186307087541 9.99999974737875e-05 604.724914550781 595.660827636719 304.539074 38.30726 0.0009418553 3.0 10.3518 8363 R Red 2458437.32800347 7 2 "[110] Berkeley86" 8187
178949097 10.2626 0.0347059890627861 0.000199999994947575 3609.74560546875 3662.3046875 304.539393 38.30726 0.0007919797 2.0 11.3664 29994 V Visual 2458998.5358912 7 2 "[110] Berkeley86" 29923
72481827 10.2619 0.0145570673048496 9.99999974737875e-05 618.960998535156 568.929016113281 304.539521 38.307261 0.001005701 2.0 10.2954 7279 V Visual 2458388.39534143 7 2 "[110] Berkeley86" 7196
100554623 10.8050 0.0 0.00039999998989515 847.10498046875 1145.43530273438 304.539307 38.307266 0.002330194 256.0 9.4693 11506 B B 2458585.58866898 31 39 "[111] PCyg" 11121
166324193 10.0757 0.0350238382816315 0.000199999994947575 3523.58276367188 3453.43188476562 304.5391 38.307277 0.001263052 3.0 10.7632 27984 I I-Band 2458945.59990741 7 2 "[110] Berkeley86" 27361
177594537 10.2559 0.0424101017415524 0.00039999998989515 3557.49682617188 3683.43579101562 304.539218 38.307285 0.0008353814 2.0 11.0222 29811 V Visual 2458994.59576389 7 2 "[110] Berkeley86" 29799
178999765 10.2057 0.0260168313980103 9.99999974737875e-05 3611.08032226562 3658.54296875 304.539412 38.307286 0.0009156912 2.0 10.8928 29995 R Red 2458998.53408131 7 2 "[110] Berkeley86" 29924
30557485 10.2594 0.0 9.99999974737875e-05 658.569580078125 596.256408691406 304.539436 38.307298 0.0009614504 262.0 10.2265 2551 R Red 2457938.57853588 7 2 "[110] Berkeley86" 2315
192696405 10.1189 0.02259118296206 0.000199999994947575 694.476379394531 645.747375488281 304.538978 38.307304 0.001395925 3.0 10.6757 32235 R Red 2459061.56340112 7 2 "[110] Berkeley86" 31505
191017105 10.1618 0.0374215319752693 0.000600000028498471 673.652526855469 668.017211914062 304.539039 38.307306 0.00133248 2.0 11.0895 32071 V Visual 2459051.61266204 7 2 "[110] Berkeley86" 31346
